season,min_played,goals,assists,penalty_made,penalty_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completion_percent,progressive_passes,carries,progressive_carries,take_ons_attempted,take_ons_successful
2021,45,0,0,0,0,0,0,0,0,56,1,1,0,0,0,46,51,90.2,7,41,3,1,1
2021,45,0,0,0,0,0,0,0,0,51,2,1,0,1,0,35,42,83.3,3,33,0,1,1
2021,90,0,0,0,0,0,0,1,0,99,6,2,1,3,0,64,83,77.1,6,55,4,1,0
2021,14,0,0,0,0,0,0,0,0,10,1,0,1,0,0,5,7,71.4,0,6,0,1,1
2021,90,0,0,0,0,2,1,0,0,53,3,0,0,1,0,31,44,70.5,2,37,2,2,1
2021,90,0,0,0,0,0,0,0,0,87,4,2,2,2,0,59,77,76.6,8,54,1,1,1
2021,90,0,0,0,0,0,0,0,0,84,4,0,0,2,0,56,71,78.9,4,43,1,1,1
2021,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0.0,0,2,0,1,0
2021,76,0,0,0,0,0,0,0,0,27,2,1,1,1,0,15,22,68.2,0,20,2,0,0
2021,90,0,0,0,0,0,0,0,0,49,1,3,2,0,0,29,39,74.4,2,31,0,0,0
2021,86,1,0,0,0,2,1,0,0,27,2,1,1,2,0,14,17,82.4,1,12,1,1,1
2021,90,0,0,0,0,0,0,0,0,34,1,0,0,0,0,33,33,100.0,0,20,0,0,0
2021,12,0,0,0,0,0,0,0,0,20,1,1,0,0,0,15,19,78.9,2,11,1,1,1
2021,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100.0,0,1,0,0,0
2021,90,1,0,0,0,1,1,0,0,120,2,0,0,1,0,108,114,94.7,4,95,0,0,0
2021,78,0,0,0,0,4,0,0,0,68,2,1,1,3,0,55,60,91.7,6,38,1,0,0
2021,90,0,0,0,0,0,0,1,0,71,0,1,0,2,0,59,68,86.8,8,45,8,2,1
2021,90,0,0,0,0,0,0,0,0,99,1,3,1,0,0,77,91,84.6,7,65,2,0,0
2021,90,0,0,0,0,1,0,0,0,68,0,5,0,4,1,60,63,95.2,6,46,2,0,0
2021,15,0,0,0,0,0,0,0,0,12,0,0,0,1,0,8,10,80.0,1,9,0,1,0
2021,90,1,0,0,0,3,2,1,0,35,0,0,0,3,0,20,30,66.7,2,25,4,2,1
2021,90,0,0,0,0,0,0,0,0,102,2,3,0,1,1,84,93,90.3,2,72,1,2,2
2021,75,0,2,0,0,2,1,0,0,36,0,0,0,6,3,26,30,86.7,6,20,4,0,0
2021,62,0,0,0,0,1,0,0,0,25,0,0,0,0,0,12,16,75.0,0,16,0,3,0
2021,28,0,0,0,0,1,1,0,0,8,0,0,0,0,0,3,5,60.0,0,7,0,1,1
2021,28,0,0,0,0,0,0,0,0,23,2,0,1,1,0,16,17,94.1,2,16,0,3,2
2021,16,0,0,0,0,1,0,0,0,11,1,0,1,0,0,3,5,60.0,0,3,0,0,0
2021,90,0,0,0,0,1,1,0,0,69,0,2,0,0,0,53,64,82.8,2,42,0,0,0
2021,90,0,0,0,0,0,0,0,0,77,2,3,0,0,0,69,72,95.8,4,46,1,0,0
2021,90,0,0,0,0,0,0,0,0,41,0,1,1,4,0,25,34,73.5,2,28,2,2,0
2021,90,0,0,0,0,0,0,0,0,69,0,4,0,2,0,50,63,79.4,4,33,2,0,0
2021,74,0,0,0,0,0,0,0,0,30,2,0,1,0,0,19,24,79.2,3,17,0,1,1
2021,90,0,0,0,0,0,0,0,0,28,0,0,0,0,0,21,27,77.8,0,14,0,0,0
2021,90,0,0,0,0,0,0,1,0,74,2,0,2,0,0,56,65,86.2,3,51,0,0,0
2021,62,0,0,0,0,1,0,0,0,30,0,0,1,1,0,19,25,76.0,0,23,4,2,2
2021,90,0,0,0,0,0,0,0,0,74,1,0,2,0,0,64,67,95.5,3,42,0,0,0
2021,90,0,0,0,0,0,0,1,0,79,1,0,0,0,0,75,78,96.2,4,53,1,0,0
2021,90,0,1,0,0,0,0,0,0,29,1,0,3,1,1,10,15,66.7,1,18,4,2,2
2021,90,0,0,0,0,0,0,0,0,63,0,0,0,0,0,45,58,77.6,0,35,0,0,0
2021,90,1,0,0,0,1,1,0,0,43,2,1,2,3,2,21,29,72.4,1,20,4,3,3
2021,10,0,0,0,0,0,0,0,0,5,1,0,0,1,0,3,3,100.0,0,2,0,1,1
2021,90,0,1,0,0,1,0,0,0,70,2,3,2,1,0,42,54,77.8,3,31,0,1,0
