player,pos,nation,born
Matty Cash,DF,POL,1997.0
Morgan Sanson,MF,FRA,1994.0
Neil Taylor,DF,WAL,1989.0
Ollie Watkins,FW,ENG,1995.0
Ross Barkley,MF,ENG,1993.0
Trézéguet,FW,EGY,1994.0
Tyrone Mings,DF,ENG,1993.0
Wesley Moraes,FW,BRA,1996.0
Aaron Connolly,FW,IRL,2000.0
Adam Lallana,"MF,FW",ENG,1988.0
Adam Webster,DF,ENG,1995.0
Alexis Mac Allister,"MF,FW",ARG,1998.0
Alireza Jahanbakhsh,"FW,MF",IRN,1993.0
Andi Zeqiri,"FW,DF",SUI,1999.0
Ben White,"DF,MF",ENG,1997.0
Bernardo,"DF,MF",BRA,1995.0
Dan Burn,DF,ENG,1992.0
Danny Welbeck,FW,ENG,1990.0
Davy Pröpper,MF,NED,1991.0
Jakub Moder,"DF,MF",POL,1999.0
Jayson Molumby,MF,IRL,1999.0
José Izquierdo,DF,COL,1992.0
Joël Veltman,DF,NED,1992.0
Leandro Trossard,"MF,FW",BEL,1994.0
Lewis Dunk,DF,ENG,1991.0
Neal Maupay,"FW,MF",FRA,1996.0
Pascal Groß,"MF,DF",GER,1991.0
Percy Tau,FW,RSA,1994.0
Reda Khadra,MF,GER,2001.0
Robert Sánchez,GK,ESP,1997.0
Solly March,"DF,MF",ENG,1994.0
Steven Alzate,MF,COL,1998.0
Tariq Lamptey,"DF,MF",GHA,2000.0
Yves Bissouma,MF,MLI,1996.0
Ashley Barnes,FW,ENG,1989.0
Ashley Westwood,MF,ENG,1990.0
Bailey Peacock-Farrell,GK,NIR,1996.0
Ben Mee,DF,ENG,1989.0
Charlie Taylor,DF,ENG,1993.0
Chris Wood,FW,NZL,1991.0
Dale Stephens,MF,ENG,1989.0
Dwight McNeil,MF,ENG,1999.0
Erik Pieters,"DF,MF",NED,1988.0
Jack Cork,MF,ENG,1989.0
James Tarkowski,DF,ENG,1992.0
Jay Rodriguez,FW,ENG,1989.0
Jimmy Dunne,DF,IRL,1997.0
Joel Mumbongo,FW,SWE,1999.0
Josh Benson,MF,ENG,1999.0
Josh Brownhill,MF,ENG,1995.0
Jóhann Berg Guðmundsson,MF,ISL,1990.0
Kevin Long,DF,IRL,1990.0
Lewis Richardson,"FW,MF",ENG,2003.0
Matthew Lowton,DF,ENG,1989.0
Matěj Vydra,FW,CZE,1992.0
Nick Pope,GK,ENG,1992.0
Phil Bardsley,DF,SCO,1985.0
Robbie Brady,MF,IRL,1992.0
Will Norris,GK,ENG,1993.0
Andreas Christensen,DF,DEN,1996.0
Antonio Rüdiger,DF,GER,1993.0
Ben Chilwell,DF,ENG,1996.0
Billy Gilmour,MF,SCO,2001.0
Callum Hudson-Odoi,"FW,DF",ENG,2000.0
Christian Pulisic,"FW,MF",USA,1998.0
César Azpilicueta,DF,ESP,1989.0
Edouard Mendy,GK,SEN,1992.0
Emerson Palmieri,DF,ITA,1994.0
Fikayo Tomori,DF,ENG,1997.0
Hakim Ziyech,"MF,FW",MAR,1993.0
Jorginho,MF,ITA,1991.0
Kai Havertz,"MF,FW",GER,1999.0
Kepa Arrizabalaga,GK,ESP,1994.0
Kurt Zouma,DF,FRA,1994.0
Marcos Alonso,DF,ESP,1990.0
Mason Mount,MF,ENG,1999.0
Mateo Kovačić,MF,CRO,1994.0
N'Golo Kanté,MF,FRA,1991.0
Olivier Giroud,FW,FRA,1986.0
Reece James,DF,ENG,1999.0
Ruben Loftus-Cheek,FW,ENG,1996.0
Tammy Abraham,FW,ENG,1997.0
Thiago Silva,DF,BRA,1984.0
Timo Werner,"FW,MF",GER,1996.0
Willy Caballero,GK,ARG,1981.0
Andros Townsend,"MF,FW",ENG,1991.0
Cheikhou Kouyaté,DF,SEN,1989.0
Christian Benteke,FW,BEL,1990.0
Eberechi Eze,MF,ENG,1998.0
Gary Cahill,DF,ENG,1985.0
Jack Butland,GK,ENG,1993.0
James McArthur,MF,SCO,1987.0
James McCarthy,MF,IRL,1990.0
James Tomkins,DF,ENG,1989.0
Jaïro Riedewald,MF,NED,1996.0
Jean-Philippe Mateta,FW,FRA,1997.0
Jeffrey Schlupp,MF,GHA,1992.0
Joel Ward,DF,ENG,1989.0
Jordan Ayew,"FW,MF",GHA,1991.0
Luka Milivojević,MF,SRB,1991.0
Mamadou Sakho,DF,FRA,1990.0
Martin Kelly,DF,ENG,1990.0
Michy Batshuayi,FW,BEL,1993.0
Nathaniel Clyne,DF,ENG,1991.0
Patrick van Aanholt,DF,NED,1990.0
Scott Dann,DF,ENG,1987.0
Tyrick Mitchell,DF,ENG,1999.0
Vicente Guaita,GK,ESP,1987.0
Wilfried Zaha,FW,CIV,1992.0
Abdoulaye Doucouré,MF,MLI,1993.0
Alex Iwobi,"FW,MF",NGA,1996.0
Allan,MF,BRA,1991.0
André Gomes,MF,POR,1993.0
Anthony Gordon,"FW,MF",ENG,2001.0
Ben Godfrey,DF,ENG,1998.0
Bernard,"MF,FW",BRA,1992.0
Cenk Tosun,FW,TUR,1991.0
Dominic Calvert-Lewin,FW,ENG,1997.0
Fabian Delph,"MF,DF",ENG,1989.0
Gylfi Sigurðsson,"MF,FW",ISL,1989.0
James Rodríguez,"FW,MF",COL,1991.0
Jean-Philippe Gbamin,MF,CIV,1995.0
Jonjoe Kenny,DF,ENG,1997.0
Jordan Pickford,GK,ENG,1994.0
Joshua King,"MF,FW",NOR,1992.0
João Virgínia,GK,POR,1999.0
Lucas Digne,"DF,MF",FRA,1993.0
Mason Holgate,DF,JAM,1996.0
Michael Keane,DF,ENG,1993.0
Moise Kean,"FW,MF",ITA,2000.0
Nathan Broadhead,FW,WAL,1998.0
Niels Nkounkou,"DF,FW",FRA,2000.0
Richarlison,FW,BRA,1997.0
Robin Olsen,GK,SWE,1990.0
Séamus Coleman,"DF,MF",IRL,1988.0
Theo Walcott,FW,ENG,1989.0
Tom Davies,MF,ENG,1998.0
Yerry Mina,DF,COL,1994.0
Aboubakar Kamara,"FW,MF",MTN,1995.0
Ademola Lookman,"FW,MF",NGA,1997.0
Aleksandar Mitrović,FW,SRB,1994.0
Alphonse Areola,GK,FRA,1993.0
Andre-Frank Zambo Anguissa,MF,CMR,1995.0
Antonee Robinson,DF,USA,1997.0
Bobby De Cordova-Reid,"MF,FW",JAM,1993.0
Denis Odoi,DF,GHA,1988.0
Fabio Carvalho,"MF,FW",POR,2002.0
Harrison Reed,MF,ENG,1995.0
Ivan Cavaleiro,FW,POR,1993.0
Joachim Andersen,DF,DEN,1996.0
Joe Bryan,"DF,MF",ENG,1993.0
Josh Maja,FW,NGA,1998.0
Josh Onomah,MF,ENG,1997.0
Kenny Tete,"DF,MF",NED,1995.0
Marek Rodák,GK,SVK,1996.0
Mario Lemina,MF,GAB,1993.0
Maxime Le Marchand,DF,FRA,1989.0
Michael Hector,DF,JAM,1992.0
Neeskens Kebano,"FW,MF",COD,1992.0
Ola Aina,DF,NGA,1996.0
Terence Kongolo,DF,NED,1994.0
Tim Ream,DF,USA,1987.0
Tom Cairney,MF,SCO,1991.0
Tosin Adarabioyo,DF,ENG,1997.0
Tyrese Francois,DF,AUS,2000.0
Diego Llorente,DF,ESP,1993.0
Ezgjan Alioski,"DF,MF",MKD,1992.0
Gaetano Berardi,DF,SUI,1988.0
Hélder Costa,"MF,FW",ANG,1994.0
Ian Poveda,MF,ENG,2000.0
Illan Meslier,GK,FRA,2000.0
Jack Harrison,"MF,FW",ENG,1996.0
Jamie Shackleton,"MF,DF",ENG,1999.0
Kalvin Phillips,MF,ENG,1995.0
Kiko Casilla,GK,ESP,1986.0
Leif Davis,DF,ENG,2000.0
Liam Cooper,DF,SCO,1991.0
Luke Ayling,DF,ENG,1991.0
Mateusz Klich,MF,POL,1990.0
Niall Huggins,DF,WAL,2000.0
Pablo Hernández,MF,ESP,1985.0
Pascal Struijk,"DF,MF",NED,1999.0
Patrick Bamford,FW,ENG,1993.0
Raphinha,"MF,FW",BRA,1996.0
Robin Koch,"DF,MF",GER,1996.0
Rodrigo,"MF,FW",ESP,1991.0
Stuart Dallas,"MF,DF",NIR,1991.0
Tyler Roberts,"MF,FW",WAL,1999.0
Ayoze Pérez,"MF,FW",ESP,1993.0
Cengiz Ünder,"FW,MF",TUR,1997.0
Christian Fuchs,DF,AUT,1986.0
Daniel Amartey,DF,GHA,1994.0
Demarai Gray,FW,JAM,1996.0
Dennis Praet,MF,BEL,1994.0
Hamza Choudhury,MF,BAN,1997.0
Harvey Barnes,"FW,MF",ENG,1997.0
Islam Slimani,FW,ALG,1988.0
James Justin,DF,ENG,1998.0
James Maddison,MF,ENG,1996.0
Jamie Vardy,FW,ENG,1987.0
Jonny Evans,DF,NIR,1988.0
Kasper Schmeichel,GK,DEN,1986.0
Kelechi Iheanacho,FW,NGA,1996.0
Khanya Leshabela,MF,RSA,1999.0
Luke Thomas,DF,ENG,2001.0
Marc Albrighton,"DF,FW",ENG,1989.0
Nampalys Mendy,MF,SEN,1992.0
Ricardo Pereira,"DF,FW",POR,1993.0
Sidnei Tavares,MF,,2001.0
Timothy Castagne,DF,BEL,1995.0
Wes Morgan,DF,JAM,1984.0
Wesley Fofana,DF,FRA,2000.0
Wilfred Ndidi,"MF,DF",NGA,1996.0
Youri Tielemans,MF,BEL,1997.0
Çağlar Söyüncü,DF,TUR,1996.0
Adrián,GK,ESP,1987.0
Alex Oxlade-Chamberlain,"MF,FW",ENG,1993.0
Alisson,GK,BRA,1992.0
Andrew Robertson,DF,SCO,1994.0
Caoimhín Kelleher,GK,IRL,1998.0
Curtis Jones,MF,ENG,2001.0
Diogo Jota,FW,POR,1996.0
Divock Origi,FW,BEL,1995.0
Fabinho,"DF,MF",BRA,1993.0
Georginio Wijnaldum,MF,NED,1990.0
James Milner,"MF,DF",ENG,1986.0
Joe Gomez,DF,ENG,1997.0
Jordan Henderson,"MF,DF",ENG,1990.0
Joël Matip,DF,CMR,1991.0
Kostas Tsimikas,"DF,FW",GRE,1996.0
Mohamed Salah,FW,EGY,1992.0
Naby Keïta,MF,GUI,1995.0
Nathaniel Phillips,DF,ENG,1997.0
Neco Williams,DF,WAL,2001.0
Ozan Kabak,DF,TUR,2000.0
Rhys Williams,DF,ENG,2001.0
Roberto Firmino,FW,BRA,1991.0
Sadio Mané,FW,SEN,1992.0
Takumi Minamino,"MF,FW",JPN,1995.0
Thiago Alcántara,MF,ESP,1991.0
Trent Alexander-Arnold,DF,ENG,1998.0
Virgil van Dijk,DF,NED,1991.0
Xherdan Shaqiri,"MF,FW",SUI,1991.0
Aymeric Laporte,DF,ESP,1994.0
Benjamin Mendy,DF,FRA,1994.0
Bernardo Silva,"MF,FW",POR,1994.0
Ederson,GK,BRA,1993.0
Eric García,DF,ESP,2001.0
Fernandinho,MF,BRA,1985.0
Ferrán Torres,"FW,MF",ESP,2000.0
Gabriel Jesus,FW,BRA,1997.0
John Stones,DF,ENG,1994.0
João Cancelo,"DF,MF",POR,1994.0
Kevin De Bruyne,MF,BEL,1991.0
Kyle Walker,DF,ENG,1990.0
Liam Delap,FW,ENG,2003.0
Nathan Aké,DF,NED,1995.0
Oleksandr Zinchenko,DF,UKR,1996.0
Phil Foden,"FW,MF",ENG,2000.0
Raheem Sterling,FW,ENG,1994.0
Riyad Mahrez,FW,ALG,1991.0
Rodri,MF,ESP,1996.0
Rúben Dias,DF,POR,1997.0
Scott Carson,GK,ENG,1985.0
Sergio Agüero,FW,ARG,1988.0
Zack Steffen,GK,USA,1995.0
İlkay Gündoğan,MF,GER,1990.0
Aaron Wan-Bissaka,DF,COD,1997.0
Alex Telles,DF,BRA,1992.0
Amad Diallo,FW,CIV,2002.0
Anthony Elanga,FW,SWE,2002.0
Anthony Martial,FW,FRA,1995.0
Axel Tuanzebe,DF,COD,1997.0
Brandon Williams,DF,ENG,2000.0
Bruno Fernandes,MF,POR,1994.0
Daniel James,FW,WAL,1997.0
David de Gea,GK,ESP,1990.0
Dean Henderson,GK,ENG,1997.0
Donny van de Beek,"MF,FW",NED,1997.0
Edinson Cavani,FW,URU,1987.0
Eric Bailly,DF,CIV,1994.0
Fred,MF,BRA,1993.0
Hannibal Mejbri,MF,TUN,2003.0
Harry Maguire,DF,ENG,1993.0
Juan Mata,"FW,MF",ESP,1988.0
Luke Shaw,DF,ENG,1995.0
Marcus Rashford,FW,ENG,1997.0
Mason Greenwood,FW,ENG,2001.0
Nemanja Matić,MF,SRB,1988.0
Odion Ighalo,FW,NGA,1989.0
Paul Pogba,"MF,FW",FRA,1993.0
Scott McTominay,MF,SCO,1996.0
Shola Shoretire,FW,ENG,2004.0
Timothy Fosu-Mensah,DF,NED,1998.0
Victor Lindelöf,DF,SWE,1994.0
Will Fish,FW,ENG,2003.0
Allan Saint-Maximin,"FW,MF",FRA,1997.0
Andy Carroll,FW,ENG,1989.0
Callum Wilson,FW,ENG,1992.0
Ciaran Clark,DF,IRL,1989.0
DeAndre Yedlin,DF,USA,1993.0
Dwight Gayle,"FW,MF",ENG,1990.0
Elliot Anderson,MF,ENG,2002.0
Emil Krafth,DF,SWE,1994.0
Fabian Schär,DF,SUI,1991.0
Federico Fernández,DF,ARG,1989.0
Isaac Hayden,"MF,DF",JAM,1995.0
Jacob Murphy,"DF,MF",ENG,1995.0
Jamaal Lascelles,DF,ENG,1993.0
Jamal Lewis,DF,NIR,1998.0
Javier Manquillo,DF,ESP,1994.0
Jeff Hendrick,MF,IRL,1992.0
Joelinton,"FW,MF",BRA,1996.0
Jonjo Shelvey,MF,ENG,1992.0
Karl Darlow,GK,WAL,1990.0
Martin Dúbravka,GK,SVK,1989.0
Matt Ritchie,"DF,MF",SCO,1989.0
Matthew Longstaff,MF,ENG,2000.0
Miguel Almirón,"MF,FW",PAR,1994.0
Paul Dummett,DF,WAL,1991.0
Ryan Fraser,"FW,MF",SCO,1994.0
Sean Longstaff,MF,ENG,1997.0
Aaron Ramsdale,GK,ENG,1998.0
Antwoine Hackford,DF,ENG,2004.0
Ben Osborn,"MF,DF",ENG,1994.0
Billy Sharp,FW,ENG,1986.0
Chris Basham,"DF,MF",ENG,1988.0
Daniel Jebbison,FW,CAN,2003.0
David McGoldrick,"FW,MF",IRL,1987.0
Enda Stevens,DF,IRL,1990.0
Ethan Ampadu,"DF,MF",WAL,2000.0
Femi Seriki,MF,ENG,2002.0
George Baldock,DF,GRE,1993.0
Iliman Ndiaye,MF,SEN,2000.0
Jack O'Connell,DF,ENG,1994.0
Jack Robinson,DF,ENG,1993.0
Jayden Bogle,"DF,MF",ENG,2000.0
John Egan,DF,IRL,1992.0
John Fleck,MF,SCO,1991.0
John Lundstram,MF,ENG,1994.0
Kean Bryan,DF,ENG,1996.0
Lys Mousset,"FW,MF",FRA,1996.0
Max Lowe,DF,ENG,1997.0
Oliver Burke,FW,SCO,1997.0
Oliver McBurnie,FW,SCO,1996.0
Oliver Norwood,MF,NIR,1991.0
Phil Jagielka,DF,ENG,1982.0
Rhian Brewster,"FW,MF",ENG,2000.0
Sander Berge,MF,NOR,1998.0
Alex McCarthy,GK,ENG,1989.0
Alexandre Jankewitz,MF,SUI,2001.0
Allan Tchaptchet,DF,FRA,2001.0
Caleb Watts,MF,AUS,2002.0
Che Adams,FW,SCO,1996.0
Dan Nlundulu,"FW,MF",ENG,1999.0
Danny Ings,FW,ENG,1992.0
Fraser Forster,GK,ENG,1988.0
Ibrahima Diallo,MF,FRA,1999.0
Jack Stephens,DF,ENG,1994.0
Jake Vokins,DF,ENG,2000.0
James Ward-Prowse,MF,ENG,1994.0
Jan Bednarek,DF,POL,1996.0
Jannik Vestergaard,DF,DEN,1992.0
Kayne Ramsey,DF,ENG,2000.0
Kyle Walker-Peters,DF,ENG,1997.0
Michael Obafemi,FW,IRL,2000.0
Mohammed Salisu,DF,GHA,1999.0
Moussa Djenepo,MF,MLI,1998.0
Nathan Redmond,"MF,FW",ENG,1994.0
Nathan Tella,"FW,MF",NGA,1999.0
Oriol Romeu,MF,ESP,1991.0
Ryan Bertrand,DF,ENG,1989.0
Shane Long,FW,IRL,1987.0
Stuart Armstrong,MF,SCO,1992.0
William Smallbone,MF,IRL,2000.0
Yan Valery,"DF,MF",TUN,1999.0
Ben Davies,DF,WAL,1993.0
Carlos Vinícius,FW,BRA,1995.0
Dane Scarlett,FW,ENG,2004.0
Davinson Sánchez,DF,COL,1996.0
Dele Alli,MF,ENG,1996.0
Eric Dier,DF,ENG,1994.0
Gareth Bale,FW,WAL,1989.0
Giovani Lo Celso,MF,ARG,1996.0
Harry Kane,FW,ENG,1993.0
Harry Winks,MF,ENG,1996.0
Hugo Lloris,GK,FRA,1986.0
Japhet Tanganga,DF,ENG,1999.0
Joe Rodon,DF,WAL,1997.0
Lucas Moura,"FW,MF",BRA,1992.0
Matt Doherty,DF,IRL,1992.0
Moussa Sissoko,MF,FRA,1989.0
Pierre Højbjerg,MF,DEN,1995.0
Serge Aurier,DF,CIV,1992.0
Sergio Reguilón,DF,ESP,1996.0
Son Heung-min,FW,KOR,1992.0
Steven Bergwijn,"FW,MF",NED,1997.0
Tanguy Ndombele,MF,FRA,1996.0
Toby Alderweireld,DF,BEL,1989.0
Érik Lamela,"FW,MF",ARG,1992.0
Ahmed Hegazi,DF,EGY,1991.0
Branislav Ivanović,DF,SRB,1984.0
Callum Robinson,"FW,MF",IRL,1995.0
Charlie Austin,"FW,MF",ENG,1989.0
Conor Gallagher,MF,ENG,2000.0
Conor Townsend,DF,ENG,1993.0
Dara O'Shea,DF,IRL,1999.0
Darnell Furlong,DF,ENG,1995.0
David Button,GK,ENG,1989.0
Filip Krovinović,MF,CRO,1995.0
Grady Diangana,"MF,FW",COD,1998.0
Hal Robson-Kanu,FW,WAL,1989.0
Jake Livermore,MF,ENG,1989.0
Kamil Grosicki,"MF,FW",POL,1988.0
Karlan Grant,"FW,MF",ENG,1997.0
Kieran Gibbs,DF,ENG,1989.0
Kyle Bartley,DF,ENG,1991.0
Kyle Edwards,"MF,FW",ENG,1998.0
Lee Peltier,DF,ENG,1986.0
Matheus Pereira,"MF,FW",BRA,1996.0
Matt Phillips,MF,SCO,1991.0
Mbaye Diagne,FW,SEN,1991.0
Okay Yokuşlu,MF,TUR,1994.0
Rekeem Harper,MF,ENG,2000.0
Robert Snodgrass,"MF,FW",SCO,1987.0
Romaine Sawyers,MF,SKN,1991.0
Sam Field,MF,ENG,1998.0
Sam Johnstone,GK,ENG,1993.0
Semi Ajayi,DF,NGA,1993.0
Aaron Cresswell,DF,ENG,1989.0
Andriy Yarmolenko,"FW,MF",UKR,1989.0
Angelo Ogbonna,DF,ITA,1988.0
Arthur Masuaku,"DF,MF",COD,1993.0
Ben Johnson,"DF,FW",ENG,2000.0
Craig Dawson,DF,ENG,1990.0
Darren Randolph,GK,IRL,1987.0
Declan Rice,MF,ENG,1999.0
Fabián Balbuena,DF,PAR,1991.0
Felipe Anderson,"FW,MF",BRA,1993.0
Issa Diop,DF,FRA,1997.0
Jarrod Bowen,"FW,MF",ENG,1996.0
Jesse Lingard,"MF,FW",ENG,1992.0
Manuel Lanzini,"MF,FW",ARG,1993.0
Mark Noble,MF,ENG,1987.0
Michail Antonio,FW,JAM,1990.0
Pablo Fornals,"FW,MF",ESP,1996.0
Ryan Fredericks,"DF,FW",ENG,1992.0
Saïd Benrahma,"FW,MF",ALG,1995.0
Sébastien Haller,FW,CIV,1994.0
Tomáš Souček,MF,CZE,1995.0
Vladimír Coufal,DF,CZE,1992.0
Łukasz Fabiański,GK,POL,1985.0
Adama Traoré,"FW,MF",ESP,1996.0
Conor Coady,DF,ENG,1993.0
Daniel Podence,"MF,FW",POR,1995.0
Fernando Marçal,"DF,MF",BRA,1989.0
Fábio Silva,FW,POR,2002.0
John Ruddy,GK,ENG,1986.0
Jonny Castro,"MF,DF",ESP,1994.0
João Moutinho,MF,POR,1986.0
Ki-Jana Hoever,"DF,MF",NED,2002.0
Leander Dendoncker,"MF,DF",BEL,1995.0
Max Kilman,DF,ENG,1997.0
Morgan Gibbs-White,"MF,FW",ENG,2000.0
Nélson Semedo,"DF,MF",POR,1993.0
Oskar Buur,DF,DEN,1998.0
Owen Otasowie,"MF,FW",USA,2001.0
Patrick Cutrone,FW,ITA,1998.0
Pedro Neto,"FW,MF",POR,2000.0
Rayan Aït-Nouri,DF,ALG,2001.0
Raúl Jiménez,FW,MEX,1991.0
Romain Saïss,DF,MAR,1990.0
Rui Patrício,GK,POR,1988.0
Rúben Neves,MF,POR,1997.0
Rúben Vinagre,"MF,DF",POR,1999.0
Theo Corbeanu,FW,CAN,2002.0
Vitinha,MF,POR,2000.0
Willian José,FW,BRA,1991.0
Willy Boly,DF,CIV,1991.0
Albert Sambi Lokonga,MF,BEL,1999.0
Folarin Balogun,FW,USA,2001.0
Nuno Tavares,DF,POR,2000.0
Takehiro Tomiyasu,DF,JPN,1998.0
Ashley Young,"DF,FW",ENG,1985.0
Cameron Archer,"FW,MF",ENG,2001.0
Emi Buendía,"MF,FW",ARG,1996.0
Jed Steer,GK,ENG,1992.0
Leon Bailey,"FW,MF",JAM,1997.0
Philippe Coutinho,"MF,FW",BRA,1992.0
Tim Iroegbunam,MF,ENG,2003.0
Bryan Mbeumo,FW,CMR,1999.0
Charlie Goode,DF,ENG,1995.0
Christian Eriksen,MF,DEN,1992.0
Christian Nørgaard,MF,DEN,1994.0
David Raya,GK,ESP,1995.0
Dominic Thompson,DF,ENG,2000.0
Ethan Pinnock,DF,JAM,1993.0
Finley Stevens,DF,WAL,2003.0
Frank Onyeka,MF,NGA,1998.0
Ivan Toney,FW,ENG,1996.0
Jonas Lössl,GK,DEN,1989.0
Josh Dasilva,"MF,FW",ENG,1998.0
Kristoffer Ajer,DF,NOR,1998.0
Mads Bech Sørensen,DF,DEN,1999.0
Mads Bidstrup,MF,DEN,2001.0
Mads Roerslev,DF,DEN,1999.0
Marcus Forss,"FW,MF",FIN,1999.0
Mathias Jensen,MF,DEN,1996.0
Mathias Jørgensen,DF,DEN,1990.0
Nathan Young-Coombes,MF,ENG,2003.0
Pontus Jansson,DF,SWE,1991.0
Rico Henry,DF,ENG,1997.0
Saman Ghoddos,"MF,DF",IRN,1993.0
Sergi Canós,"DF,FW",ESP,1997.0
Shandon Baptiste,MF,GRN,1998.0
Tariqe Fosu,DF,GHA,1995.0
Vitaly Janelt,MF,GER,1998.0
Yoane Wissa,FW,COD,1996.0
Álvaro Fernández,GK,ESP,1998.0
Enock Mwepu,MF,ZAM,1998.0
Evan Ferguson,MF,IRL,2004.0
Jason Steele,GK,ENG,1990.0
Jeremy Sarmiento,"FW,MF",ECU,2002.0
Jürgen Locadia,"MF,FW",CUW,1993.0
Marc Cucurella,DF,ESP,1998.0
Moisés Caicedo,MF,ECU,2001.0
Shane Duffy,DF,IRL,1992.0
Taylor Richards,MF,ENG,2000.0
Aaron Lennon,"MF,FW",ENG,1987.0
Connor Roberts,DF,WAL,1995.0
Maxwel Cornet,"FW,MF",CIV,1996.0
Nathan Collins,DF,IRL,2001.0
Wayne Hennessey,GK,WAL,1987.0
Wout Weghorst,FW,NED,1992.0
Kenedy,DF,BRA,1996.0
Malang Sarr,DF,FRA,1999.0
Romelu Lukaku,FW,BEL,1993.0
Saúl Ñíguez,"DF,MF",ESP,1994.0
Trevoh Chalobah,DF,ENG,1999.0
Jesurun Rak Sakyi,"FW,MF",ENG,2002.0
Marc Guéhi,DF,ENG,2000.0
Michael Olise,"FW,MF",FRA,2001.0
Nathan Ferguson,DF,ENG,2000.0
Odsonne Édouard,FW,FRA,1998.0
Will Hughes,MF,ENG,1995.0
Asmir Begović,GK,BIH,1987.0
Ellis Simms,FW,ENG,2001.0
Isaac Price,MF,NIR,2003.0
Jarrad Branthwaite,DF,ENG,2002.0
Lewis Dobbin,"FW,MF",ENG,2003.0
Salomón Rondón,FW,VEN,1989.0
Tyler Onyango,MF,ENG,2003.0
Vitaliy Mykolenko,DF,UKR,1999.0
Adam Forshaw,MF,ENG,1991.0
Charlie Cresswell,DF,ENG,2002.0
Cody Drameh,"DF,MF",ENG,2001.0
Crysencio Summerville,"MF,FW",NED,2001.0
Joe Gelhardt,"FW,MF",ENG,2002.0
Junior Firpo,"DF,MF",DOM,1996.0
Kristoffer Klaesson,GK,NOR,2000.0
Leo Fuhr Hjelde,"MF,DF",NOR,2003.0
Lewis Bate,MF,ENG,2002.0
Liam McCarron,FW,SCO,2001.0
Sam Greenwood,"MF,FW",ENG,2002.0
Stuart McKinstry,MF,SCO,2002.0
Boubakary Soumaré,MF,FRA,1999.0
Danny Ward,GK,WAL,1993.0
Kasey McAteer,FW,IRL,2001.0
Kiernan Dewsbury-Hall,MF,ENG,1998.0
Lewis Brunt,MF,ENG,2000.0
Patson Daka,FW,ZAM,1998.0
Harvey Elliott,MF,ENG,2003.0
Ibrahima Konaté,DF,FRA,1999.0
Kaide Gordon,FW,ENG,2004.0
Luis Díaz,FW,COL,1997.0
Tyler Morton,MF,ENG,2002.0
CJ Egan-Riley,DF,ENG,2003.0
Cole Palmer,"FW,MF",ENG,2002.0
James Mcatee,"MF,FW",ENG,2002.0
Kayky Chagas,FW,BRA,2003.0
Alejandro Garnacho,"FW,MF",ARG,2004.0
Cristiano Ronaldo,FW,POR,1985.0
Diogo Dalot,DF,POR,1999.0
Jadon Sancho,"FW,MF",ENG,2000.0
Phil Jones,DF,ENG,1992.0
Raphaël Varane,DF,FRA,1993.0
Bruno Guimarães,MF,BRA,1997.0
Freddie Woodman,GK,ENG,1997.0
Kieran Trippier,DF,ENG,1990.0
Adam Idah,"FW,MF",IRL,2001.0
Andrew Omobamidele,DF,IRL,2002.0
Angus Gunn,GK,SCO,1996.0
Bali Mumba,DF,ENG,2001.0
Ben Gibson,DF,ENG,1993.0
Christoph Zimmermann,DF,GER,1993.0
