Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
0.63,0.71,66%,34%,16,8,5,4,0,1,7,5,91%,81%,,,,,3,2,8,2,6,6,10,2,0,0,40,28,,,2,4,10,3,,,84%,64%,17%,29%,,,20,6,3,10,20%,61%,,,17,34,4,5,,,,,2,5,,,,,,,,
3.05,2.18,57%,43%,13,17,5,5,4,3,7,6,81%,73%,1,4,,,3,5,5,7,13,10,0,7,1,0,34,26,,,1,0,13,11,,,67%,64%,17%,40%,,,22,19,11,13,65%,70%,,,38,26,10,2,,,,,2,1,,,,,,,,
2.56,2.12,52%,48%,12,15,6,7,3,2,2,3,87%,88%,1,3,,,3,5,3,3,10,10,2,5,0,0,33,25,,,1,1,16,15,,,74%,78%,23%,25%,,,14,13,15,16,53%,44%,,,17,25,6,7,,,,,6,4,,,,,,,,
1.23,1.20,68%,32%,20,5,2,2,1,1,2,0,89%,78%,1,3,,,8,3,10,0,14,5,6,0,0,0,42,8,,,3,2,15,15,,,84%,64%,23%,38%,,,16,11,15,15,45%,33%,,,6,44,6,14,,,,,1,2,,,,,1,0,0,1
0.63,1.97,45%,55%,8,13,3,5,1,3,6,7,77%,80%,3,3,,,2,5,3,3,6,8,2,5,0,1,23,15,,,1,1,9,17,,,64%,66%,12%,13%,,,23,16,17,9,46%,50%,,,27,40,11,7,,,,,4,3,,,,,1,0,,
0.23,1.22,62%,38%,10,10,0,5,0,2,7,7,83%,76%,1,3,,,5,3,5,2,4,7,6,3,0,0,22,16,,,0,3,7,10,,,70%,53%,19%,20%,,,17,13,10,7,40%,46%,,,17,32,8,9,,,,,3,0,,,,,,,,
1.13,1.62,41%,59%,17,10,5,6,1,1,4,4,82%,87%,2,1,,,5,1,7,3,10,10,7,0,1,0,26,23,,,2,1,14,15,,,71%,71%,32%,25%,,,12,8,15,14,50%,56%,,,11,14,8,4,,,,,2,4,,,,,,,,
0.13,4.01,49%,51%,6,18,1,12,0,10,5,6,80%,82%,2,0,,,2,3,3,3,2,14,4,4,0,1,5,35,,,2,1,12,11,,,56%,69%,18%,33%,,,16,15,11,12,62%,53%,,,24,24,12,7,,,,,8,1,,,,,,,,
1.85,0.41,38%,62%,9,9,8,3,4,1,7,8,73%,86%,4,1,,,0,2,1,4,8,4,1,5,0,0,23,20,,,1,0,9,12,,,58%,72%,35%,15%,,,13,17,12,9,75%,61%,,,37,39,8,11,,,,,1,6,,,,,,,1,0
0.55,1.53,48%,52%,8,14,3,6,1,3,5,6,83%,84%,4,0,,,3,3,2,5,5,12,3,2,0,1,22,34,,,1,1,10,10,,,72%,69%,14%,43%,,,19,12,10,10,45%,89%,,,31,35,13,7,,,,,2,3,,,,,,,0,1
